country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","25-06-2025 22:00:00",12.938539,77.590100,NO2,5,16,11
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","25-06-2025 22:00:00",8.5149093,76.9435879,SO2,11,21,16
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","25-06-2025 22:00:00",23.264759,77.381568,PM2.5,13,23,20
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","25-06-2025 22:00:00",23.264759,77.381568,NO2,5,38,17
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","25-06-2025 22:00:00",23.264759,77.381568,NH3,2,4,3
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","25-06-2025 22:00:00",14.816666,74.141003,NH3,NA,NA,NA
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","25-06-2025 22:00:00",14.816666,74.141003,CO,14,20,16
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","25-06-2025 22:00:00",12.415911,75.735050,OZONE,3,6,5
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","25-06-2025 22:00:00",12.21041,76.37376,CO,1,28,19
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","25-06-2025 22:00:00",13.328028,75.797056,PM10,NA,NA,NA
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","25-06-2025 22:00:00",14.475800,75.905200,PM2.5,27,78,54
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","25-06-2025 22:00:00",14.475800,75.905200,OZONE,23,26,25
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","25-06-2025 22:00:00",15.459706,75.008381,NO2,19,19,19
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","25-06-2025 22:00:00",12.920984,77.584908,PM10,14,74,33
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","25-06-2025 22:00:00",13.003872,77.664217,CO,26,38,33
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","25-06-2025 22:00:00",13.0270199,77.494094,NO2,18,23,20
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","25-06-2025 22:00:00",12.733409,77.298051,OZONE,24,25,25
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","25-06-2025 22:00:00",16.802639,75.722694,NO2,9,10,9
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","25-06-2025 22:00:00",19.875620,75.387310,NO2,9,9,9
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","25-06-2025 22:00:00",19.875620,75.387310,NH3,2,3,2
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","25-06-2025 22:00:00",19.8389439,75.244448,NO2,14,24,19
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","25-06-2025 22:00:00",19.863756,75.321188,NH3,2,6,3
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","25-06-2025 22:00:00",19.863756,75.321188,OZONE,13,73,27
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","25-06-2025 22:00:00",19.16485,73.23409,PM2.5,29,56,44
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","25-06-2025 22:00:00",19.16485,73.23409,NO2,28,40,34
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","25-06-2025 22:00:00",19.16485,73.23409,SO2,5,18,11
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","25-06-2025 22:00:00",19.16485,73.23409,CO,20,35,22
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","25-06-2025 22:00:00",22.76726,75.88710,NO2,27,28,28
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","25-06-2025 22:00:00",23.163174,79.973061,PM10,9,45,18
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","25-06-2025 22:00:00",23.163174,79.973061,NO2,33,42,37
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","25-06-2025 22:00:00",23.142888,79.916147,SO2,8,10,9
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","25-06-2025 22:00:00",23.168606,79.932247,NO2,33,62,42
